name,form_ict_index,photo,total_points,transfer_in,status,team,now_cost,position,team_shirt,postponed,news,news_added,transfer_in_event,transfer_out_event,selected_by_percent,points_per_game,in_dreamteam,cost_change_event
Harry Kane,871.15,78830.png,50,1190410,a,Tottenham,11.4,FOW,https://fantasy.premierleague.com/dist/img/shirts/standard/shirt_6-66.webp,No,,,"127,587","93,887",19.2,7.1,True,0
Erling Haaland,675.75,223094.png,73,3739693,a,Man city,12.1,FOW,https://fantasy.premierleague.com/dist/img/shirts/standard/shirt_43-66.webp,No,,,"105,561","23,183",81.2,10.4,True,1
Son Heung-min,651.0,85971.png,36,625608,a,Tottenham,11.7,MID,https://fantasy.premierleague.com/dist/img/shirts/standard/shirt_6-66.webp,No,,,"210,873","77,718",11.1,5.1,False,0
Kevin De Bruyne,648.55,61366.png,45,2481252,a,Man city,12.3,MID,https://fantasy.premierleague.com/dist/img/shirts/standard/shirt_43-66.webp,No,,,"209,348","132,279",32.5,6.4,True,1
Leandro Trossard,608.4000000000001,116216.png,32,397045,a,Brighton,6.6,MID,https://fantasy.premierleague.com/dist/img/shirts/standard/shirt_36-66.webp,No,,,"34,804","35,130",3.5,5.3,False,1
Marcus Rashford,570.0,176297.png,40,1801677,d,Man United,6.6,MID,https://fantasy.premierleague.com/dist/img/shirts/standard/shirt_1-66.webp,No,Lack of match fitness - 75% chance of playing,2022-09-15T22:00:06.254533Z,"102,222","266,907",14.2,6.7,True,0
Ivan Toney,525.35,144485.png,47,2806551,a,Brentford,7.3,FOW,https://fantasy.premierleague.com/dist/img/shirts/standard/shirt_94-66.webp,No,,,"426,742","87,851",23.1,6.7,True,1
Bukayo Saka,489.6,223340.png,37,482943,a,Arsenal,7.8,MID,https://fantasy.premierleague.com/dist/img/shirts/standard/shirt_3-66.webp,No,,,"78,407","57,756",11.6,5.3,False,0
Alexis Mac Allister,432.59999999999997,243016.png,39,878505,a,Brighton,5.6,MID,https://fantasy.premierleague.com/dist/img/shirts/standard/shirt_36-66.webp,No,,,"188,400","53,502",7.2,6.5,True,0
Gabriel Fernando de Jesus,300.65000000000003,205651.png,39,1652788,a,Arsenal,8.0,FOW,https://fantasy.premierleague.com/dist/img/shirts/standard/shirt_3-66.webp,No,,,"57,046","369,424",70.1,5.6,False,-1
